country,confirmed_cases,deaths,recovered,active_cases,population
Afghanistan,234174,7996,211080,15098,40754388
Albania,334863,3605,330233,1025,2866374
Algeria,272010,6881,183061,82068,45350148
Angola,107327,1937,103419,1971,35027343
Antigua and Barbuda,9106,146,8954,6,99509
Argentina,10128845,130841,9997258,746,46010234
Armenia,451831,8777,435162,7892,2971966
Aruba,44224,292,42438,1494,107609
Australia,11853144,24414,11820014,8716,26068792
Austria,6081287,22542,6054934,3811,9066710
Azerbaijan,835234,10400,824089,745,10300205
Bahamas,38084,844,36366,874,400516
Bahrain,729549,1574,727915,60,1783983
Barbados,110578,648,108647,1283,288023
Belarus,994037,7118,985592,1327,9432800
Belgium,4861695,34376,4826798,521,11668278
Benin,28036,163,27847,26,12784726
Bermuda,18860,165,18685,10,61939
Bhutan,62697,21,61564,1112,787941
Bolivia,1212131,22407,1177145,12579,11992656
Bosnia,403615,16388,379084,8143,3249317
Botswana,330638,2801,327049,788,2441162
Brazil,38743918,711380,36249161,1783377,215353593
Brunei,343719,225,243601,99893,445431
Bulgaria,1339851,38748,1292944,8159,6844597
Burkina Faso,22114,400,21596,118,22102838
Burundi,54721,38,53569,1114,12624840
Cabo Verde,64477,417,63755,305,567678
Cambodia,139103,3056,136044,3,17168639
Cameroon,125379,1974,123280,125,27911548
Canada,4946090,59034,4881312,5744,38388419
Caribbean Netherlands,11682,38,10476,1168,26647
Cayman Islands,31472,37,8553,22882,67277
Central African Republic,15440,113,15200,127,5016678
Chad,7701,194,4874,2633,17413580
Channel Islands,101717,228,101321,168,176463
Chile,5384853,64497,5252450,67906,19250195
China,503302,5272,379053,118977,1448471400
Colombia,6400173,143200,6212152,44821,51512762
Comoros,9109,161,8939,9,907419
Congo,25375,386,24006,983,5797805
Cook Islands,7203,2,7150,51,17571
Croatia,1309728,18687,1258432,32609,4059286
Cuba,1115251,8530,1106660,61,11305652
Curaçao,45986,295,44720,971,165529
Cyprus,681110,1365,679745,0,1223387
Czechia,4759041,43517,4715206,318,10736784
Côte d'Ivoire,88384,835,87497,52,27742298
DRC,99338,1468,84489,13381,95240792
Denmark,3183756,8814,3174942,0,5834950
Djibouti,15690,189,15427,74,1016097
Dominica,16038,74,15964,0,72344
Dominican Republic,675890,4384,671316,190,11056370
Ecuador,1070188,36043,1034145,0,18113361
Egypt,516023,24613,442182,49228,106156692
El Salvador,201855,4230,179410,18215,6550389
Equatorial Guinea,17229,183,16907,139,1496662
Eritrea,10189,103,10086,0,3662244
Ethiopia,501157,7574,488171,5412,120812698
Fiji,69117,885,67226,1006,909466
Finland,1516117,11958,1503989,170,5554960
France,40138560,167642,39970918,0,65584518
French Guiana,98041,420,11254,86367,314169
Gabon,49051,307,48674,70,2331533
Gambia,12626,372,12189,65,2558482
Germany,38828995,183027,38240600,405368,83883596
Ghana,171889,1462,170425,2,32395450
Greenland,11971,21,2761,9189,56973
Grenada,19693,238,19358,97,113475
Guatemala,1291293,20289,1269891,1113,18584039
Guinea,38572,468,37757,347,13865691
Guinea-Bissau,9614,177,8929,508,2063367
Guyana,74137,1300,72013,824,794045
Haiti,34667,860,33734,73,11680283
Hong Kong,2937609,14924,2916005,6680,7604299
Hungary,2230232,49048,2152155,29029,9606259
Indonesia,6829221,162063,6647104,20054,279134505
Iraq,2465545,25375,2439497,673,42164965
Ireland,1734582,9491,1724921,170,5020199
Israel,4841772,12707,4798473,30592,9326000
Italy,26723249,196487,26361218,165544,60262770
Jordan,1746997,14122,1731007,1868,10300869
Kazakhstan,1411831,13848,1383020,14963,19205043
Kenya,344130,5689,337309,1132,56215221
Kiribati,5085,24,2703,2358,123419
Kyrgyzstan,206897,2991,196406,7500,6728271
Latvia,982505,6715,971406,4384,1848837
Lebanon,1243838,10952,1087587,145299,6684849
Lesotho,36138,723,25980,9435,2175699
Liberia,8090,295,7783,12,5305117
Libyan Arab Jamahiriya,507274,6437,500835,2,7040745
Lithuania,1397806,9897,1387478,431,2661708
Macao,27673,123,3487,24063,667490
Macedonia,350567,9976,337068,3523,2081304
Madagascar,68486,1426,66862,198,29178077
Malaysia,5278406,37348,5233268,7790,33181072
Maldives,186694,316,163687,22691,540985
Mali,33164,743,32332,89,21473764
Malta,121420,885,120149,386,444033
Marshall Islands,16138,17,16121,0,60057
Mauritania,63848,997,62471,380,4901981
Mauritius,43025,1051,41278,696,1274727
Mexico,7702809,334958,6899865,467986,131562772
Mongolia,1011496,2284,1009212,0,3378078
Montenegro,296542,2846,291794,1902,627950
Montserrat,1403,8,1376,19,4965
Mozambique,233731,2250,228805,2676,33089461
Myanmar,641873,19495,620159,2219,55227143
N. Korea,4772813,74,4772739,0,25990679
Namibia,172389,4106,167099,1184,2633874
Nauru,5393,1,5347,45,10903
Nepal,1003450,12031,991322,97,30225582
Netherlands,8635786,22992,8612599,195,17211447
New Zealand,2621111,5697,2613791,1623,4898203
Nicaragua,18491,225,4225,14041,6779100
Niger,9931,312,8890,729,26083660
Nigeria,267188,3155,259953,4080,216746934
Norway,1509732,6638,1503094,0,5511370
Pakistan,1581936,30664,1538689,12583,229488994
Palau,6290,10,6276,4,18233
Palestine,621008,5404,615445,159,5345541
Panama,1059893,8727,1051102,64,4446964
Papua New Guinea,46864,670,46168,26,9292169
Peru,4572667,222161,4350506,0,33684208
Philippines,4140383,66864,4067381,6138,112508994
Portugal,5643062,28126,5614809,127,10140570
Qatar,514524,690,513687,147,2979915
Romania,3529735,68929,3460149,657,19031335
Russia,24124215,402756,23545818,175641,145805947
Rwanda,133518,1468,132039,11,13600464
S. Korea,34571873,35934,34535939,0,51329899
Saint Kitts and Nevis,6607,48,6559,0,53871
Saint Lucia,30215,410,29805,0,185113
Saint Pierre Miquelon,3452,2,2449,1001,5759
Saint Vincent and the Grenadines,9674,124,9493,57,111551
Samoa,17006,31,1605,15370,202239
San Marino,26185,128,26011,46,34085
Sao Tome and Principe,6778,80,6685,13,227679
Senegal,89053,1971,87024,58,17653671
Serbia,2615054,18057,2596608,389,8653016
Seychelles,51220,172,51048,0,99426
Singapore,3006155,2024,3004131,0,5943546
Sint Maarten,11051,92,10905,54,43966
Slovakia,1877605,21224,1856381,0,5460193
Slovenia,1356546,7100,1349424,22,2078034
Somalia,27334,1361,13182,12791,16841795
South Africa,4076463,102595,3912506,61362,60756135
South Sudan,18819,147,18115,557,11618511
Spain,13914811,121760,13762417,30634,46719142
Sri Lanka,672754,16897,655852,5,21575842
Sudan,63993,5046,58947,0,45992020
Swaziland,75191,1427,73116,648,1184817
Sweden,2754129,27407,2726492,230,10218971
Switzerland,4453053,14452,4438309,292,8773637
Syrian Arab Republic,57743,3165,54578,0,19364809
Taiwan,10241523,19005,10222518,0,23888595
Tajikistan,17786,125,17264,397,9957464
Thailand,4770149,34586,4692636,42927,70078203
Timor-Leste,23460,138,23102,220,1369429
Togo,39572,290,39281,1,8680837
Tonga,16950,13,15638,1299,107749
Trinidad and Tobago,191496,4390,187078,28,1406585
Turks and Caicos Islands,6752,40,6709,3,39741
UK,24910387,232112,24678275,0,68497907
USA,111820082,1219487,109814428,786167,334805269
Uganda,172149,3632,100431,68086,48432863
Ukraine,5557995,112418,5445577,0,43192122
Uruguay,1041111,7664,1030944,2503,3496016
Uzbekistan,253662,1637,241486,10539,34382084
Vanuatu,12019,14,11976,29,321832
Venezuela,552695,5856,546537,302,29266991
Vietnam,11625195,43206,10640971,941018,98953541
Wallis and Futuna,3550,8,438,3104,10982
Western Sahara,10,1,9,0,626161
Yemen,11945,2159,9124,662,31154867
Zambia,349304,4069,341316,3919,19470234
Zimbabwe,266359,5740,258888,1731,15331428
